apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
co.mona.android,True,United States,dp_clause,False,True,True,True,True
com.dalakgames.ziplinevalley,True,United States,dp_clause,False,True,True,True,True
com.coinbase.android,True,United States,dp_clause,False,True,True,False,False
com.moregames.makemoney,True,United States,dp_clause,False,True,True,True,True
com.stereo7games.steampunk,True,United States,dp_clause,False,True,True,False,False
com.runtheworld.tribe,True,United States,binding_corporate_rules,True,True,True,True,True
com.runtheworld.tribe,True,United States,dp_clause,True,True,True,True,True
com.runtheworld.tribe,True,United States,approved_code_conduct,True,True,True,True,True
com.companyname.TrenchAssault,True,United States,dp_clause,False,True,True,False,False
com.skeeze.islanddefense.lite,True,United States,dp_clause,False,True,True,False,False
com.strategygame.gameofwarriors,True,United States,dp_clause,False,True,True,False,False
com.area730.crocodile.family.sim,True,United States,dp_clause,False,True,True,False,False
com.aetn.aetv.watch,True,United States,dp_clause,False,True,True,True,True
com.uphold.wallet,True,United States,dp_clause,False,True,True,False,False
com.letterschool.lite,True,United States,dp_clause,False,True,True,False,False
co.ritual.app,True,United States,dp_clause,True,True,True,False,True
craft.free.mine.story,True,United States,dp_clause,False,True,True,True,True
com.aetn.history.watch,True,United States,dp_clause,False,True,True,True,True
com.crack.screen.prank.bfun,True,United States,dp_clause,False,False,True,True,False
com.budgestudios.googleplay.BudgeWorld,True,United States,dp_clause,True,True,True,False,True
com.edmdots.GOOTekashiIXIN,True,United States,dp_clause,False,True,True,True,True
com.epictunes.MoonliXXXTENTAC,True,United States,dp_clause,False,True,True,True,True
com.epictunes.DoYouKnowThUgand,True,United States,dp_clause,False,True,True,True,True
com.edmdots.GummyBear__,True,United States,dp_clause,False,True,True,True,True
com.buildium.resident.android,True,United States,dp_clause,True,True,True,False,True
com.epictunes.ItsEJake,True,United States,dp_clause,False,True,True,True,True
com.kimura.pianogame,True,United States,dp_clause,False,True,True,True,True
de.gymondo.app.gymondo,True,United States,dp_clause,False,True,True,False,False
today.onedrop.android,True,United States,dp_clause,False,True,True,True,True
fi.polar.beat,True,United States,dp_clause,False,True,True,False,False
com.dailyburn.challenge,True,United States,binding_corporate_rules,True,True,True,False,True
com.dailyburn.challenge,True,United States,dp_clause,True,True,True,False,True
air.com.freshplanet.games.WaM,True,United States,binding_corporate_rules,True,True,True,False,True
air.com.freshplanet.games.WaM,True,United States,dp_clause,True,True,True,False,True
com.neonjump.GodzillaThemeSong_,True,United States,dp_clause,False,True,True,True,True
com.neonjump.RickAndMortyThemeSong__,True,United States,dp_clause,False,True,True,True,True
com.rally.wellness,True,United States,dp_clause,False,True,True,True,True
com.whoop.android,True,United States,binding_corporate_rules,True,True,True,True,True
com.whoop.android,True,United States,dp_clause,True,True,True,True,True
com.whoop.android,True,United States,approved_code_conduct,True,True,True,True,True
com.sato.pianomusicgame,True,United States,dp_clause,False,True,True,True,True
com.gen.betterwalking,True,United States,dp_clause,False,True,True,True,True
com.gen.bettermeditation,True,United States,dp_clause,False,True,True,True,True
motivation.daily.quotes,True,United States,dp_clause,False,True,True,False,False
com.xogrp.thebump,True,United States,dp_clause,False,True,True,True,True
air.com.freshplanet.games.SongPop2,True,United States,binding_corporate_rules,True,True,True,False,True
air.com.freshplanet.games.SongPop2,True,United States,dp_clause,True,True,True,False,True
com.lasting.lasting,True,United States,dp_clause,False,True,True,True,True
com.bigbluebubble.msm2,True,United States,dp_clause,False,True,True,False,False
com.gismart.realdrum2free,True,United States,dp_clause,False,False,True,False,False
com.gismart.realdrum2free,True,Russia,dp_clause,False,False,True,False,False
com.tap.music.piano.fun,True,United States,dp_clause,False,True,True,True,True
com.bigbluebubble.singingmonsters.full,True,United States,dp_clause,False,True,True,False,False
com.gen.bettermen,True,United States,dp_clause,False,True,True,True,True
com.virginpulse.virginpulse,True,United States,approved_certification,False,True,False,False,False
com.cocoplay.black.friday,True,United States,dp_clause,False,False,True,True,False
com.ifit.wolf,True,United States,dp_clause,False,True,True,True,True
com.home.exercise.fitness.health,True,United States,dp_clause,True,True,True,False,True
sp.spider.stickman.gta.rope.city.crime.superhero.pubg.mafia,True,United States,dp_clause,False,True,True,True,True
com.appsci.sleep,True,United States,dp_clause,False,True,True,True,True
com.gen.workoutme,True,United States,dp_clause,False,True,True,True,True
com.cocoplay.girlssquad,True,United States,dp_clause,False,False,True,True,False
com.sidechef.sidechef,True,United States,dp_clause,True,True,True,False,True
com.cocoplay.skate.girl,True,United States,dp_clause,False,False,True,True,False
com.tabtale.newbornsisterchristmas,True,United States,dp_clause,False,False,True,True,False
io.lucidgreen.www,True,United States,dp_clause,True,True,True,True,True
com.expremio.pizzahutcipru,True,United States,dp_clause,False,False,True,False,False
com.cocoplay.cocorockstar,True,United States,dp_clause,False,False,True,True,False
com.swiftappskom.thecheetahrpg,True,United States,dp_clause,False,True,True,False,False
com.ktv.weedfactory,True,United States,dp_clause,False,True,True,False,False
com.linecorp.LGPGA,True,United States,dp_clause,False,False,True,False,False
com.tabtale.daddy.daycare,True,United States,dp_clause,False,False,True,True,False
com.tabtale.newbaby,True,United States,dp_clause,False,False,True,True,False
com.cocoplay.stylist.girl,True,United States,dp_clause,False,False,True,True,False
com.tabtale.baby.sitter,True,United States,dp_clause,False,False,True,True,False
com.swiftappskom.thewolfrpg,True,United States,dp_clause,False,True,True,False,False
com.home.recipes.food.drink,True,United States,dp_clause,True,True,True,False,True
company.greenergrass.goldenroll,True,United States,dp_clause,False,True,True,True,True
com.dg.turbonuke.bingo.quest.winter.garden.seasons,True,United States,binding_corporate_rules,False,True,True,False,False
com.dg.turbonuke.bingo.quest.winter.garden.seasons,True,United States,dp_clause,False,True,True,False,False
com.IguazuGames.Mahjong,True,United States,dp_clause,False,True,True,False,False
com.dg.turbonuke.bingo.quest.crazy.candy.kingdom,True,United States,binding_corporate_rules,False,True,True,False,False
com.dg.turbonuke.bingo.quest.crazy.candy.kingdom,True,United States,dp_clause,False,True,True,False,False
com.gemini.android.app,True,United States,dp_clause,False,True,True,False,False
com.efsllc.efsmobileapp,True,United States,dp_clause,False,False,True,False,False
com.alpg.yatzy,True,United States,dp_clause,False,True,True,True,True
com.mtni.myirancell,True,Iran,dp_clause,False,False,True,False,False
com.hilton.android.hhonors,True,United States,dp_clause,False,True,True,True,True
com.colorjoy.Learn.to.draw.glow.princess,True,United States,dp_clause,False,True,True,True,True
com.marriott.mrt,True,United States,dp_clause,False,True,True,True,True
com.marriott.mrt,True,United States,approved_certification,False,True,True,True,True
com.hotwire.hotels,True,Australia,binding_corporate_rules,False,False,True,True,False
com.hotwire.hotels,True,Australia,dp_clause,False,False,True,True,False
com.hotwire.hotels,True,Australia,approved_certification,False,False,True,True,False
com.hotwire.hotels,True,United States,binding_corporate_rules,False,False,True,True,False
com.hotwire.hotels,True,United States,dp_clause,False,False,True,True,False
com.hotwire.hotels,True,United States,approved_certification,False,False,True,True,False
com.cocoplay.cocopony,True,United States,dp_clause,False,False,True,True,False
com.tabtale.daddylittlehelper,True,United States,dp_clause,False,False,True,True,False
com.cocoplay.cocokitty,True,United States,dp_clause,False,False,True,True,False
com.cocoplay.cocoiceprincesstwo,True,United States,dp_clause,False,False,True,True,False
com.cocoplay.cocogirl,True,United States,dp_clause,False,False,True,True,False
com.tabtale.messybabysitter,True,United States,dp_clause,False,False,True,True,False
com.tabtale.monsterhair,True,United States,dp_clause,False,False,True,True,False
com.tabtale.karate.girl,True,United States,dp_clause,False,False,True,True,False
com.vacasa.guests,True,United States,dp_clause,False,True,True,False,False
com.resy.android,True,United States,dp_clause,False,True,True,False,False
com.tabtale.popstarfiasco,True,United States,dp_clause,False,False,True,True,False
com.offroad.monster.truck.steel.titans,True,United States,dp_clause,False,False,True,False,False
com.tabtale.babyhouse,True,United States,dp_clause,False,False,True,True,False
com.passportparking.mobile.ParkTYB,True,United States,dp_clause,False,True,True,False,False
com.passportparking.mobile.ParkTYB,True,United States,approved_certification,False,True,True,False,False
com.tabtale.newbornbabydreamhouse,True,United States,dp_clause,False,False,True,True,False
com.cocoplay.cocosupermodel,True,United States,dp_clause,False,False,True,True,False
com.tabtale.kitchenkids,True,United States,dp_clause,False,False,True,True,False
com.tabtale.bff.shopping,True,United States,dp_clause,False,False,True,True,False
com.tabtale.crazyhair,True,United States,dp_clause,False,False,True,True,False
com.homeaway.owner,True,United States,binding_corporate_rules,False,True,True,True,True
com.homeaway.owner,True,United States,dp_clause,False,True,True,True,True
com.homeaway.owner,True,United States,approved_certification,False,True,True,True,True
com.p66.b2c.stationfinder.conoco,True,United States,dp_clause,True,False,True,False,False
com.creative.colorfit.mandala.coloring.book,True,United States,dp_clause,False,True,True,True,True
com.ripl.android,True,United States,dp_clause,True,False,True,False,False
com.offroad.atv.quad.bike.simulator,True,United States,dp_clause,False,False,True,False,False
com.magisto,True,United States,approved_certification,False,True,False,False,False
com.stupeflix.replay,True,United States,dp_clause,False,True,True,False,False
com.draw.paint.sketch.one,True,United States,dp_clause,False,True,True,True,True
com.binggogames.wordblocks,True,United States,dp_clause,False,True,True,False,False
com.edmdots.CaptainUnderpants__,True,United States,dp_clause,False,True,True,True,True
com.centriqhome.centriq,True,United States,dp_clause,True,True,True,False,True
com.jampro.GirlsLikMaroon,True,United States,dp_clause,False,True,True,True,True
com.neonjump.badguBillieEilis,True,United States,dp_clause,False,True,True,True,True
com.zype.thisoldhouse,True,United States,dp_clause,True,True,True,False,True
com.miniclip.plagueinc,True,United States,dp_clause,False,True,True,False,False
com.contextlogic.geek,True,United States,dp_clause,False,True,True,False,False
com.avelog.catsimulator,True,United States,dp_clause,False,True,True,True,True
com.poqstudio.app.platform.boohoo,True,United States,dp_clause,False,False,True,True,False
com.SlakDev.SquirrelSimulator1,True,United States,dp_clause,False,True,True,True,True
com.yesstyle.android,True,United States,dp_clause,False,False,True,False,False
com.fivebits.borderpatrol,True,United States,dp_clause,False,False,True,False,False
com.dimchi.crush,True,United States,dp_clause,False,False,True,True,False
com.dimchi.crush,True,Russia,dp_clause,False,False,True,True,False
com.area730.lion.family.sim,True,United States,dp_clause,False,True,True,False,False
com.area730.panther.sim,True,United States,dp_clause,False,True,True,False,False
com.gpshopper.boohooman,True,United States,dp_clause,False,False,True,True,False
com.baklabs.bus.simulator,True,United States,dp_clause,False,True,True,True,True
com.contextlogic.home,True,United States,dp_clause,False,True,True,False,False
com.gpp.carwash,True,United States,dp_clause,False,True,True,False,False
com.area730.snow.leopard.family.sim,True,United States,dp_clause,False,True,True,False,False
com.yoinsapp,True,United States,binding_corporate_rules,False,True,True,True,True
com.yoinsapp,True,United States,dp_clause,False,True,True,True,True
com.zeptolab.omnommerge.google,True,United States,dp_clause,False,True,True,False,False
thecouponsapp.coupon,True,United States,dp_clause,False,True,True,True,True
com.tabtale.unicorn.food,True,United States,dp_clause,False,False,True,True,False
com.contextlogic.mama,True,United States,dp_clause,False,True,True,False,False
com.avelog.mouse,True,United States,dp_clause,False,True,True,True,True
com.tomtop.shop,True,United States,binding_corporate_rules,False,False,True,False,False
com.tomtop.shop,True,United States,dp_clause,False,False,True,False,False
com.tomtop.shop,True,China,binding_corporate_rules,False,False,True,False,False
com.tomtop.shop,True,China,dp_clause,False,False,True,False,False
it.junglestudios.cookieclickers,True,United States,dp_clause,False,False,True,False,False
it.redbitgames.cookieclickers2,True,United States,dp_clause,False,False,True,False,False
com.twoo,True,United States,dp_clause,False,True,True,False,False
com.twosteps.twosteps,True,United States,dp_clause,False,False,True,True,False
mobi.jackd.android,True,United States,dp_clause,False,True,True,False,False
com.appspot.scruffapp,True,United States,dp_clause,False,True,True,False,False
com.topface.topface,True,United States,dp_clause,False,False,True,True,False
com.topface.topface,True,Russia,dp_clause,False,False,True,True,False
com.Chatspin,True,United States,dp_clause,False,True,True,True,True
org.buffer.android,True,United States,dp_clause,False,True,True,False,False
com.squarevalley.i8birdies,True,United States,dp_clause,True,True,True,True,True
us.bat.stickman.rope.hero.dark.gangstar.mafia,True,United States,dp_clause,False,True,True,True,True
com.mcentric.mcclient.MyMadrid,True,United States,dp_clause,False,True,True,True,True
com.meowtek.phonzy,True,United States,dp_clause,False,True,True,False,False
com.creative.Learn.to.draw.cartoon,True,United States,dp_clause,False,True,True,True,True
com.kokteyl.goal,True,United States,dp_clause,False,False,True,True,False
com.cricbuzz.android,True,United States,dp_clause,False,False,True,False,False
com.creative.Learn.to.draw.flowers,True,United States,dp_clause,False,True,True,True,True
com.neon.black.mafia.ironboy.call.stickman.rope.heros.gangstar.duty,True,United States,dp_clause,False,True,True,True,True
com.thoughtfish.player,True,United States,dp_clause,True,True,True,True,True
mobi.abcmouse.alphabetmastery.google,True,United States,binding_corporate_rules,True,True,True,False,True
mobi.abcmouse.alphabetmastery.google,True,United States,dp_clause,True,True,True,False,True
org.zwanoo.android.speedtest,True,United States,dp_clause,False,True,True,True,True
jp.pokemon.pokemonhome,True,United States,dp_clause,False,True,True,True,True
com.creative.sandbox.number.drawning.coloring,True,United States,dp_clause,False,True,True,True,True
com.princess.coloring.book.girl.color.games,True,United States,dp_clause,False,False,True,True,False
com.edokiacademy.busyshapesandcolors,True,United States,dp_clause,False,True,True,False,False
com.draw.now.drawit,True,Russia,dp_clause,False,False,True,True,False
call.recorder.automatic.acr,True,United States,dp_clause,False,True,True,False,False
se.maginteractive.quizduel2,True,United States,dp_clause,False,True,True,True,True
com.cartoona,True,United States,dp_clause,False,True,True,False,False
com.teknasyon.photofont,True,United States,dp_clause,False,True,True,False,False
skills.craft.survival.building,True,United States,dp_clause,False,True,True,True,True
com.zenjoy.slideshow,True,United States,dp_clause,False,True,True,True,True
com.gamma.photoeditor,True,United States,dp_clause,False,True,True,False,False
com.picmonkey.picmonkey,True,United States,dp_clause,False,True,True,True,True
mastercraft.buiding.sandbox.games,True,United States,dp_clause,False,True,True,True,True
com.docusign.ink,True,United States,binding_corporate_rules,False,True,True,False,False
com.docusign.ink,True,United States,approved_certification,False,True,True,False,False
com.trello,True,United States,dp_clause,False,True,True,True,True
com.aisense.otter,True,United States,dp_clause,False,True,True,True,True
com.inferno.sinful.puzzle,True,United States,dp_clause,False,True,True,False,False
com.sandisk.mz,True,United States,binding_corporate_rules,False,True,True,False,False
com.sandisk.mz,True,United States,dp_clause,False,True,True,False,False
com.tummygamese.pancakeart,True,United States,dp_clause,False,False,True,False,False
easy.sudoku.puzzle.solver.free,True,United States,dp_clause,False,False,True,False,False
jigsaw.hexa.boombox,True,United States,dp_clause,False,True,True,False,False
com.brainium.sudoku.free,True,United States,binding_corporate_rules,False,True,True,False,False
com.brainium.sudoku.free,True,United States,dp_clause,False,True,True,False,False
com.hoopstack.game,True,United States,dp_clause,False,True,True,False,False
fancyclean.boost.antivirus.junkcleaner,True,United States,dp_clause,False,True,True,True,True
com.inapp.cross.stitch,True,United States,dp_clause,False,True,True,True,True
classic.brick.games.tetris,True,United States,dp_clause,False,False,True,True,False
com.yunbu.nonogram.puzzle,True,United States,dp_clause,False,True,True,True,True
nonogram.logicpuzzles.picturecross.pixel,True,United States,dp_clause,False,True,True,False,False
pixel.block.number.free.classic.puzzle.game.offline.color.art.picture,True,United States,dp_clause,False,False,True,False,False
com.colorrope.game,True,United States,dp_clause,False,True,True,False,False
com.sadpuppy.lemmings,True,United States,dp_clause,False,True,True,True,True
game2048.b2048game.twozerofoureight2048.game,True,United States,dp_clause,False,True,True,False,False
fancyclean.cleaner.boost.privacy.antivirus.mini,True,United States,dp_clause,False,True,True,True,True
com.love.poly.puzzle.game,True,United States,dp_clause,False,True,True,True,True
com.kwalee.gunpuzzle,True,United States,dp_clause,False,False,True,True,False
com.awem.cradleofempires.andr,True,United States,dp_clause,False,True,True,True,True
rocks.mpgames.travelblast,True,United States,dp_clause,False,True,True,True,True
com.kwalee.looper,True,United States,dp_clause,False,False,True,True,False
com.morechili.mergeelf,True,United States,dp_clause,False,True,True,False,False
com.dropdom.blockpuzzle.hwwgame,True,United States,dp_clause,False,False,True,True,False
jewelblast.puzzlegame.toycrush.gem,True,United States,dp_clause,False,False,True,True,False
com.zzkko,True,United States,dp_clause,False,True,True,True,True
com.etsy.android,True,United States,dp_clause,False,True,True,True,True
air.com.mobigrow.canyouescape,True,United States,dp_clause,False,True,True,False,False
com.contextlogic.cute,True,United States,dp_clause,False,True,True,False,False
com.ketchapp.ballz,True,United States,dp_clause,False,False,True,False,False
com.crowdstar.covetHome,True,United States,dp_clause,False,True,True,True,True
com.mothersimulator3d2,True,United States,dp_clause,False,True,True,False,False
com.mothersimulator3d2,True,Russia,dp_clause,False,True,True,False,False
com.gpp.beefactory,True,United States,dp_clause,False,True,True,False,False
com.baklabs.taxi.two,True,United States,dp_clause,False,True,True,True,True
com.zatg.scaryneighbor.hellgame,True,United States,dp_clause,False,False,True,True,False
