apk,intention,transferred_countries,declared_safeguards,explicit_consent,countries,safeguard,copy,compliance
com.avast.android.familyspace.companion,True,United States,dp_clause,False,True,True,False,False
com.sega.sonic1px,True,United States,dp_clause,False,True,True,False,False
com.huuuge.casino.slots,True,United States,dp_clause,False,True,True,True,True
com.ultra7game.slotultimate,True,United States,dp_clause,False,False,True,True,False
com.tapmatch.blastfever.free,True,United States,dp_clause,False,True,True,False,False
com.neonnewcrystal.blast,True,United States,dp_clause,False,True,True,False,False
com.bluebook.bigbattle3d,True,United States,dp_clause,False,False,True,True,False
com.empire.grow.rome,True,United States,dp_clause,False,True,True,False,False
com.soodexlabs.wordsearch2,True,United States,dp_clause,False,True,True,False,False
com.color.call.screen.color.phone.themes,True,United States,dp_clause,False,False,True,True,False
com.potatofrontier.shimejifun,True,United States,dp_clause,False,False,True,True,False
thinkcube.project23,True,United States,dp_clause,False,True,True,False,False
com.brainium.jumbline2free,True,United States,binding_corporate_rules,False,True,True,False,False
com.brainium.jumbline2free,True,United States,dp_clause,False,True,True,False,False
scratch.lucky.money.free.real.big.win,True,United States,dp_clause,False,True,True,False,False
com.home.emoticon.emoji,True,United States,dp_clause,True,True,True,False,True
com.chamberlain.android.liftmaster.myq,True,United States,dp_clause,False,True,True,True,True
online.appstation.app,True,United States,dp_clause,False,True,True,False,False
com.home.horoscope,True,United States,dp_clause,True,True,True,False,True
com.honeywell.android.lyric,True,United States,dp_clause,False,True,True,True,True
com.tao.wiz,True,United States,binding_corporate_rules,False,False,True,False,False
com.tao.wiz,True,United States,dp_clause,False,False,True,False,False
com.xogrp.planner,True,United States,dp_clause,False,True,True,True,True
com.challengeLab.android,True,United States,dp_clause,False,True,True,False,False
com.taskrabbit.droid.rabbit,True,United States,dp_clause,False,True,True,False,False
spider.panther.stickman.rope.hero.crime.city.army.battle.pubg,True,United States,dp_clause,False,True,True,True,True
com.qustodio.qustodioapp,True,United States,dp_clause,True,True,True,True,True
rope.ironman.vice.town,True,United States,dp_clause,False,True,True,True,True
com.passportparking.mobile.parkduluth,True,United States,dp_clause,False,True,True,False,False
com.passportparking.mobile.parkduluth,True,United States,approved_certification,False,True,True,False,False
com.ticker.truck.driver.cargo,True,United States,dp_clause,False,False,True,False,False
com.fieldmargin,True,United States,dp_clause,False,True,True,False,False
com.fieldmargin,True,United States,approved_certification,False,True,True,False,False
com.blueduck.app,True,United States,dp_clause,False,True,True,True,True
ru.yandex.taxi,True,United States,dp_clause,False,True,True,True,True
park.st.augustine,True,United States,dp_clause,False,True,True,False,False
park.st.augustine,True,United States,approved_certification,False,True,True,False,False
com.ticker.racing.ferrari,True,United States,dp_clause,False,False,True,False,False
com.ticker.tractor.trolley.farming.simulator,True,United States,dp_clause,False,False,True,False,False
com.ticker.pickup.truck.impossible.tracks,True,United States,dp_clause,False,False,True,False,False
com.naturalcycles.cordova,True,United States,dp_clause,False,True,True,False,False
net.medshr.android,True,United States,dp_clause,False,True,True,True,True
com.gnresound.tinnitus,True,United States,dp_clause,False,True,True,True,True
com.touchsurgery,True,United States,dp_clause,False,True,True,True,True
com.abbvie.patientapp,True,United States,dp_clause,False,True,True,True,True
com.bose.monet,True,United States,dp_clause,False,True,True,True,True
com.ultimateguitar.tabs,True,United States,dp_clause,False,False,True,False,False
com.ultimateguitar.tabs,True,Russia,dp_clause,False,False,True,False,False
com.komspek.battleme,True,United States,dp_clause,False,True,True,False,False
free.music.tube.player,True,United States,dp_clause,False,True,True,False,False
com.mixcloud.player,True,United States,dp_clause,False,True,True,False,False
com.musescore.playerlite,True,Russia,dp_clause,False,False,True,False,False
com.musescore.playerlite,True,United States,dp_clause,False,False,True,False,False
com.rere.android.flying_lines,True,United States,dp_clause,False,False,True,True,False
com.nap,True,United States,dp_clause,False,True,True,False,False
com.contextlogic.wish,True,United States,dp_clause,False,True,True,False,False
com.amber.launcher.ios.iphonex.apple.os11,True,United States,dp_clause,False,True,True,True,True
police.scanner.radio.broadcastify.citizen,True,United States,dp_clause,False,True,True,False,False
mobi.infolife.ezweather.widget.accurate.weatherchannel,True,United States,dp_clause,False,True,True,True,True
com.wftab.weather.forecast,True,United States,dp_clause,False,True,True,False,False
com.buoyweather.android,True,United States,dp_clause,True,True,True,False,True
mobi.infolife.ezweather.widget.rainy.new2018,True,United States,dp_clause,False,True,True,True,True
com.surfline.android,True,United States,dp_clause,True,True,True,False,True
com.yahoo.mobile.client.android.weather,True,United States,dp_clause,True,False,True,True,False
com.meteo.weather.forecast.radar.v2,True,United States,dp_clause,False,True,True,False,False
com.weather.forecast.weatherchannel,True,United States,dp_clause,False,True,True,False,False
com.home.weather.radar,True,United States,dp_clause,True,True,True,False,True
com.infinitygames.slice,True,United States,dp_clause,False,True,True,False,False
com.acmeaom.android.myradar,True,United States,dp_clause,False,True,True,False,False
com.greenpanda.solitaire,True,United States,dp_clause,False,True,True,False,False
com.sozeray.baccarat,True,United States,dp_clause,False,True,True,False,False
air.com.differencegames.threepyramidtripeaksfree,True,United States,binding_corporate_rules,False,True,True,False,False
air.com.differencegames.threepyramidtripeaksfree,True,United States,dp_clause,False,True,True,False,False
com.youdagames.howtopoker,True,United States,dp_clause,False,True,True,False,False
com.sozeray.yirmibir,True,United States,dp_clause,False,True,True,False,False
com.salesforce.authenticator,True,United States,dp_clause,True,True,True,False,True
com.atlassian.android.jira.core,True,United States,dp_clause,False,True,True,True,True
com.easyfun.solitaire,True,United States,dp_clause,False,True,True,False,False
com.pymetrics.client,True,United States,dp_clause,False,True,True,True,True
com.brainium.freecellfree,True,United States,binding_corporate_rules,False,True,True,False,False
com.brainium.freecellfree,True,United States,dp_clause,False,True,True,False,False
mobile.appZ9sRj61x2F,True,United States,dp_clause,False,True,True,False,False
com.bigone.solitairetripeaks.free,True,United States,dp_clause,False,True,True,False,False
com.citrix.Receiver,True,United States,dp_clause,False,True,True,False,False
eu.mvns.games,True,United States,dp_clause,False,False,True,False,False
com.brainium.spiderfree,True,United States,binding_corporate_rules,False,True,True,False,False
com.brainium.spiderfree,True,United States,dp_clause,False,True,True,False,False
com.jobrapp.jobr,True,United States,dp_clause,False,True,True,False,False
com.brainium.solitairefree,True,United States,binding_corporate_rules,False,True,True,False,False
com.brainium.solitairefree,True,United States,dp_clause,False,True,True,False,False
com.glassdoor.app,True,United States,dp_clause,False,True,True,False,False
com.ohbibi.motorworldcarfactory,True,United States,dp_clause,False,True,True,False,False
com.kobobooks.android.walmart,True,United States,binding_corporate_rules,False,True,True,False,False
com.kobobooks.android.walmart,True,United States,dp_clause,False,True,True,False,False
org.familysearch.mobile.memories,True,United States,dp_clause,False,True,True,True,True
com.creativemobile.dr4x4,True,United States,dp_clause,True,False,True,False,False
com.invictus.daytonarush,True,United States,dp_clause,False,True,True,False,False
me.tango.roadriot,True,United States,dp_clause,False,True,True,False,False
